tau,accuracy,macro_f1,keyword_macro_f1
0.71,0.9444444444444444,0.9241243563681883,0.9325161827878764
0.72,0.9431689342403629,0.9223470944429762,0.9320289845197477
0.73,0.9423185941043084,0.9212344918630405,0.9315536850399218
0.74,0.9406179138321995,0.9187932579170508,0.9306385143550531
0.75,0.9392006802721088,0.9165855636772148,0.9295585240106223
0.76,0.9382086167800453,0.9151367868480377,0.9293183589863686
0.77,0.9366496598639455,0.9129441522760519,0.9285697900782335
0.78,0.935515873015873,0.9110133652869581,0.9281277214345611
0.79,0.9345238095238095,0.9094790313446394,0.9278422661195279
0.8,0.9323979591836735,0.9059197570778975,0.9255592735951135
0.81,0.9311224489795918,0.9037386729559113,0.9239637017396788
0.82,0.9289965986394558,0.9005536348548158,0.9219782736126749
0.83,0.9282879818594104,0.8995084632164866,0.9205713990055571
0.84,0.9264455782312925,0.8963485744113999,0.9189829585600513
0.85,0.9236111111111112,0.8920821766800061,0.9154978691844384
0.86,0.9210600907029478,0.887976582046417,0.9129457712172473
0.87,0.919359410430839,0.8851051778027569,0.9119137378648698
0.88,0.9166666666666666,0.8801748803006807,0.9093731747967364
0.89,0.9139739229024944,0.875715938295329,0.9062702491507346
0.9,0.9097222222222222,0.8675557591815434,0.901548665887324
0.91,0.905187074829932,0.8591265164706496,0.8959644521286656
0.92,0.8996598639455783,0.8495538255448297,0.8887436835338507
0.93,0.8949829931972789,0.8408354930909913,0.8826549309979415
0.94,0.8856292517006803,0.8214811513245744,0.8712731536146954
0.95,0.8798185941043084,0.8109688868724914,0.8621047782376252
0.96,0.871031746031746,0.7954707878460319,0.8470722809398066
0.97,0.86281179138322,0.7805035056976526,0.8325659653248965
0.98,0.8459467120181405,0.7506241416677546,0.7996441096688273
0.99,0.8167517006802721,0.693073980660805,0.738946802687783
1.0,0.5982142857142857,0.06238361266294227,0.0
