tau,accuracy,macro_f1,keyword_macro_f1
0.7,0.9571995464852607,0.9402191099469603,0.9441177173228856
0.71,0.9569160997732427,0.9399661574199546,0.9436473008912196
0.72,0.9569160997732427,0.9403492231235719,0.943799490123352
0.73,0.9569160997732427,0.9404831392245839,0.9439746991382556
0.74,0.9569160997732427,0.940742628144799,0.9441282895462768
0.75,0.9564909297052154,0.9403152838102127,0.9434722410973834
0.76,0.9560657596371882,0.9398844405151147,0.9428137814505242
0.77,0.9546485260770975,0.9380136970634787,0.9411137001179366
0.78,0.9540816326530612,0.9372412977455906,0.9400387766352448
0.79,0.9539399092970522,0.9370519949095032,0.9398224761684494
0.8,0.953514739229025,0.9367883808836414,0.9388330972789889
0.81,0.9532312925170068,0.936361892385437,0.9381623288205703
0.82,0.9526643990929705,0.9355622076770199,0.9370599656298257
0.83,0.9520975056689343,0.9347570565645685,0.9359608606630461
0.84,0.9518140589569161,0.9342933208841417,0.9350413428763847
0.85,0.9508219954648526,0.9330329899101589,0.933644470961718
0.86,0.9498299319727891,0.9316563150780416,0.932085114452412
0.87,0.9485544217687075,0.9300142120414864,0.930253653152975
0.88,0.947562358276644,0.9289163263548362,0.929063940207094
0.89,0.9465702947845805,0.9278487919880457,0.9281368242156771
0.9,0.9452947845804989,0.926043383844913,0.9259042176947357
0.91,0.9437358276643991,0.9240554677041612,0.924163351086255
0.92,0.9427437641723356,0.9226562121533455,0.9228235785535283
0.93,0.9413265306122449,0.9209402370437642,0.9213583985925233
0.94,0.9400510204081632,0.9192517221864046,0.919054938603115
0.95,0.9366496598639455,0.9144900994908576,0.9142062478564987
0.96,0.9348072562358276,0.9119014884133945,0.9114740282175449
0.97,0.9301303854875284,0.905382914254957,0.9051131809422357
0.98,0.9230442176870748,0.8953938765726205,0.8950020687899795
0.99,0.9083049886621315,0.8731834281187859,0.8718635864338993
1.0,0.6099773242630385,0.11308493815816634,0.04929751369305233
